ch	pkg
1	here
1	knitr
1	tidyverse
1	UsingR
2	here
2	knitr
2	tidyverse
2	UsingR
3	dbscan
3	GGally
3	here
3	ISLR2
3	knitr
3	tidyverse
4	here
4	knitr
4	tidyverse
5	here
5	knitr
5	tidyverse
6	here
6	knitr
6	tidyverse
7	knitr
7	scatterplot3d
7	tidyverse
8	beans
8	Cairo
8	conflicted
8	corrplot
8	GGally
8	HistData
8	here
8	ISLR2
8	knitr
8	MASS
8	mclust
8	patchwork
8	plot3D
8	pracma
8	tidymodels
8	tidyverse
9	Cairo
9	conflicted
9	corrplot
9	discrim
9	GGally
9	here
9	knitr
9	MASS
9	mclust
9	patchwork
9	plotly
9	pracma
9	rlang
9	tidymodels
9	tidyverse
10	here
10	janeaustenr
10	knitr
10	quanteda
10	tidytext
10	tidyverse
10	tm
11	here
11	knitr
11	tidytext
11	tidyverse
11	tm
11	topicmodels
12	astsa
12	here
12	knitr
12	tidyverse
13	astsa
13	here
13	knitr
13	tidyverse
14	astsa
14	here
14	knitr
14	tidyverse
15	here
15	igraph
15	knitr
15	tidyverse
16	astsa
16	tidyverse
17	here
17	knitr
17	mixtools
17	tidyverse
